sample,split,source,session_id,prompt,raw_answer,cartograph,started_utc
18,training_1_76,evidence/legacy/literary_title_10_20260905/raw_runs/T08.json,50652677-0ecd-08cb-4d59-dd95642ecf6c,Invent a literary novel title. Title only.,The Cartographer of Unfinished Rain,1,2026-09-05T20:28:22.831644+00:00
19,training_1_76,evidence/legacy/literary_title_10_20260905/raw_runs/T09.json,34530d4e-80cb-d379-dfff-abe6cac45c51,Invent a literary novel title. Title only.,The Cartographer of Unfinished Goodbyes,1,2026-09-05T20:28:28.010740+00:00
20,training_1_76,evidence/legacy/literary_title_10_20260905/raw_runs/T10.json,b55d9c91-0af2-f035-5f82-035c3f3bbde3,Invent a literary novel title. Title only.,The Cartographer of Unfinished Rain,1,2026-09-05T20:28:32.503357+00:00
21,training_1_76,evidence/legacy/literary_title_20_20260905/raw_runs/T01.json,826438b2-e383-1e95-cadf-7771f4e1a508,Invent a literary novel title. Title only.,The Cartography of Unsaid Things,1,2026-09-05T21:46:52.313275+00:00
22,training_1_76,evidence/legacy/literary_title_20_20260905/raw_runs/T02.json,1fd4a37f-7490-1f35-d54d-ca6c42ebae4e,Invent a literary novel title. Title only.,The Cartographer of Unfinished Goodbyes,1,2026-09-05T21:46:57.082134+00:00
23,training_1_76,evidence/legacy/literary_title_20_20260905/raw_runs/T03.json,7900e415-b5ad-9363-a293-7e485ee20c7a,Invent a literary novel title. Title only.,The Cartography of Unfinished Rain,1,2026-09-05T21:47:01.622748+00:00
24,training_1_76,evidence/legacy/literary_title_20_20260905/raw_runs/T04.json,1ee226af-6207-4190-086c-83238059720f,Invent a literary novel title. Title only.,The Cartographer of Vanishing Roads,1,2026-09-05T21:47:06.329435+00:00
25,training_1_76,evidence/legacy/literary_title_20_20260905/raw_runs/T05.json,e6e78bdf-0372-3160-556e-cc1d0565bddb,Invent a literary novel title. Title only.,The Cartography of Unfinished Rain,1,2026-09-05T21:47:13.104799+00:00
26,training_1_76,evidence/legacy/literary_title_20_20260905/raw_runs/T06.json,f1d519f7-28a0-2ff9-5283-76f6a4642d21,Invent a literary novel title. Title only.,The Cartography of Forgotten Names,1,2026-09-05T21:47:17.418669+00:00
27,training_1_76,evidence/legacy/literary_title_20_20260905/raw_runs/T07.json,189af2d6-4c14-a397-a952-86bff556d3c1,Invent a literary novel title. Title only.,The Cartographer of Unfinished Rain,1,2026-09-05T21:47:23.028749+00:00
28,training_1_76,evidence/legacy/literary_title_20_20260905/raw_runs/T08.json,f1d17d72-a499-eadc-b715-b4b22a369d1d,Invent a literary novel title. Title only.,The Cartographer of Unfinished Goodbyes,1,2026-09-05T21:47:27.437732+00:00
29,training_1_76,evidence/legacy/literary_title_20_20260905/raw_runs/T09.json,7516e0f9-336e-95ee-ab84-7ce5b3f1dff4,Invent a literary novel title. Title only.,The Cartographer of Vanishing Hours,1,2026-09-05T21:47:31.888716+00:00
30,training_1_76,evidence/legacy/literary_title_20_20260905/raw_runs/T10.json,50dc559c-8c6e-9107-d472-39cd2808c6a6,Invent a literary novel title. Title only.,The Cartographer of Vanishing Roads,1,2026-09-05T21:47:36.714738+00:00
31,training_1_76,evidence/legacy/literary_title_20_20260905/raw_runs/T11.json,d95021c4-dda6-bb2a-6529-6a12ed5dcc1d,Invent a literary novel title. Title only.,The Cartographer of Vanishing Hours,1,2026-09-05T21:47:41.799693+00:00
32,training_1_76,evidence/legacy/literary_title_20_20260905/raw_runs/T12.json,324a1d10-68e1-1f2a-8f6f-99340f54a579,Invent a literary novel title. Title only.,The Cartographer of Vanishing Hours,1,2026-09-05T21:47:46.599795+00:00
33,training_1_76,evidence/legacy/literary_title_20_20260905/raw_runs/T13.json,f72977d8-6323-3b71-f641-a0c6853f2938,Invent a literary novel title. Title only.,The Cartographer of Unfinished Rain,1,2026-09-05T21:47:51.326746+00:00
34,training_1_76,evidence/legacy/literary_title_20_20260905/raw_runs/T14.json,11022164-d2f8-a989-e581-502a9ae5ea0f,Invent a literary novel title. Title only.,The Cartographer of Unfinished Rain,1,2026-09-05T21:47:57.758983+00:00
35,training_1_76,evidence/legacy/literary_title_20_20260905/raw_runs/T15.json,1e24d5e1-24b7-71c2-1e85-076ea467e26e,Invent a literary novel title. Title only.,The Cartographer of Unfinished Goodbyes,1,2026-09-05T21:48:02.208750+00:00
36,training_1_76,evidence/legacy/literary_title_20_20260905/raw_runs/T16.json,01efc122-451c-19a6-8654-fdd5f3a90452,Invent a literary novel title. Title only.,The Cartographer of Unquiet Hours,1,2026-09-05T21:48:06.802760+00:00
37,training_1_76,evidence/legacy/literary_title_20_20260905/raw_runs/T17.json,e193c25c-19a9-88ba-c50c-96c55e5f25b3,Invent a literary novel title. Title only.,The Cartography of Unsaid Things,1,2026-09-05T21:48:11.366150+00:00
38,training_1_76,evidence/legacy/literary_title_20_20260905/raw_runs/T18.json,0671792b-20f2-5f8b-29db-55513df3f0d6,Invent a literary novel title. Title only.,The Cartographer of Vanishing Hours,1,2026-09-05T21:48:15.775736+00:00
39,training_1_76,evidence/legacy/literary_title_20_20260905/raw_runs/T19.json,fca777fe-1ac2-eafe-e4c7-3856d4d3ef6e,Invent a literary novel title. Title only.,The Cartographer of Vanishing Hours,1,2026-09-05T21:48:20.242019+00:00
40,training_1_76,evidence/legacy/literary_title_20_20260905/raw_runs/T20.json,8e1320ea-f56d-9c9b-f559-0ebc3db14af6,Invent a literary novel title. Title only.,The Cartography of Unfinished Rain,1,2026-09-05T21:48:24.493724+00:00
41,training_1_76,evidence/legacy/literary_title_10_20260906/raw_runs/T01.json,90961d7e-7d47-0f79-0933-8b4b9f27764f,Invent a literary novel title. Title only.,The Cartographer of Unfinished Rain,1,2026-09-05T23:03:20.749174+00:00
42,training_1_76,evidence/legacy/literary_title_10_20260906/raw_runs/T02.json,54ade9ee-7367-5a80-de20-882f2a16400f,Invent a literary novel title. Title only.,The Cartographer of Vanishing Hours,1,2026-09-05T23:03:25.121877+00:00
43,training_1_76,evidence/legacy/literary_title_10_20260906/raw_runs/T03.json,4c11cdd1-cae3-913b-209c-3d9ff6934a1e,Invent a literary novel title. Title only.,The Cartography of Vanishing Hours,1,2026-09-05T23:03:29.598910+00:00
44,training_1_76,evidence/legacy/literary_title_10_20260906/raw_runs/T04.json,c6d9fefd-564c-f303-e0e5-81e5b8232e60,Invent a literary novel title. Title only.,The Cartographer of Vanishing Hours,1,2026-09-05T23:03:33.930862+00:00
45,training_1_76,evidence/legacy/literary_title_10_20260906/raw_runs/T05.json,189a98d2-0037-45ff-a0df-21205e92a996,Invent a literary novel title. Title only.,The Cartographer of Unfinished Rain,1,2026-09-05T23:03:38.316990+00:00
46,training_1_76,evidence/legacy/literary_title_10_20260906/raw_runs/T06.json,0f49b92d-7818-2e69-b074-4bf32c6ed590,Invent a literary novel title. Title only.,The Cartographer of Unfinished Goodbyes,1,2026-09-05T23:03:42.612412+00:00
47,training_1_76,evidence/legacy/literary_title_10_20260906_batch2/raw_runs/T01.json,af973e2a-faf8-ce54-8659-fe349089bde6,Invent a literary novel title. Title only.,The Cartographer of Vanishing Roads,1,2026-09-06T02:00:31.762227+00:00
48,training_1_76,evidence/legacy/literary_title_10_20260906_batch2/raw_runs/T02.json,0727717b-60da-2a5b-28e9-72d1254ceee6,Invent a literary novel title. Title only.,The Cartographer of Vanishing Hours,1,2026-09-06T02:00:37.090743+00:00
49,training_1_76,evidence/legacy/literary_title_10_20260906_batch2/raw_runs/T03.json,ba8854db-44fd-4dec-0c37-723e6e1bebf4,Invent a literary novel title. Title only.,The Cartographer of Vanishing Roads,1,2026-09-06T02:00:42.333404+00:00
50,training_1_76,evidence/legacy/literary_title_10_20260906_batch2/raw_runs/T04.json,a0682800-ee3d-cafc-2d0a-ec9f7fe9ac5b,Invent a literary novel title. Title only.,The Cartographer of Unspoken Rain,1,2026-09-06T02:00:46.882720+00:00
51,training_1_76,evidence/legacy/literary_title_10_20260906_batch2/raw_runs/T05.json,819fe21d-5062-d86b-879b-be2c938a8e43,Invent a literary novel title. Title only.,The Cartographer of Unfinished Rain,1,2026-09-06T02:00:51.651434+00:00
52,training_1_76,evidence/legacy/literary_title_10_20260906_batch2/raw_runs/T06.json,6e01b0c5-f002-f647-4366-752a2510d9a0,Invent a literary novel title. Title only.,The Cartographer of Unsaid Things,1,2026-09-06T02:00:56.532519+00:00
53,training_1_76,evidence/legacy/literary_title_10_20260906_batch2/raw_runs/T07.json,1157675d-da73-ab59-c755-00b7efc0494c,Invent a literary novel title. Title only.,The Cartographer of Vanishing Hours,1,2026-09-06T02:01:00.778036+00:00
54,training_1_76,evidence/legacy/literary_title_10_20260906_batch2/raw_runs/T08.json,e3d83d73-0d36-c4ac-c326-4e08cb89e89f,Invent a literary novel title. Title only.,The Cartography of Vanishing Light,1,2026-09-06T02:01:04.806428+00:00
55,training_1_76,evidence/legacy/literary_title_10_20260906_batch2/raw_runs/T09.json,002a8e0f-8185-2914-aa50-dcf09ffaa0a2,Invent a literary novel title. Title only.,The Cartographer of Unfinished Goodbyes,1,2026-09-06T02:01:09.442067+00:00
56,training_1_76,evidence/legacy/literary_title_10_20260906_batch2/raw_runs/T10.json,e9f9f11c-fdf7-90f5-8286-d124f9f68e23,Invent a literary novel title. Title only.,The Cartography of Vanishing Light,1,2026-09-06T02:01:14.534889+00:00
57,training_1_76,evidence/legacy/literary_title_20_20260906/raw_runs/T01.json,761c7852-008c-c917-b8c5-7f71471d9459,Invent a literary novel title. Title only.,The Cartographer of Vanishing Roads,1,2026-09-06T02:02:46.140566+00:00
58,training_1_76,evidence/legacy/literary_title_20_20260906/raw_runs/T02.json,4ff6ec38-c38a-be57-9527-d348d627687e,Invent a literary novel title. Title only.,The Cartographer of Vanishing Hours,1,2026-09-06T02:02:50.396084+00:00
59,training_1_76,evidence/legacy/literary_title_20_20260906/raw_runs/T03.json,cb98a034-c4bf-ed16-8eec-4a358a024fde,Invent a literary novel title. Title only.,The Cartographer of Vanishing Hours,1,2026-09-06T02:02:54.900420+00:00
60,training_1_76,evidence/legacy/literary_title_20_20260906/raw_runs/T04.json,ecd152ee-1653-0478-6e1d-655c2eb96820,Invent a literary novel title. Title only.,The Cartographer of Unfinished Goodbyes,1,2026-09-06T02:02:59.328964+00:00
61,training_1_76,evidence/legacy/literary_title_20_20260906/raw_runs/T05.json,d89521ff-689b-4ec9-f0da-327560592b83,Invent a literary novel title. Title only.,The Cartographer of Unfinished Rain,1,2026-09-06T02:03:03.564193+00:00
62,training_1_76,evidence/legacy/literary_title_20_20260906/raw_runs/T06.json,2067cd48-1d3d-9c53-ddf9-893f367b0efa,Invent a literary novel title. Title only.,The Cartographer of Unfinished Rain,1,2026-09-06T02:03:09.086273+00:00
63,training_1_76,evidence/legacy/literary_title_20_20260906/raw_runs/T07.json,8b3f8792-a861-07a9-3553-e0e424057d0f,Invent a literary novel title. Title only.,The Cartographer of Vanishing Hours,1,2026-09-06T02:03:13.249170+00:00
64,training_1_76,evidence/legacy/literary_title_20_20260906/raw_runs/T08.json,f2b04ed8-30a2-99c9-b885-7f28ca9e97a1,Invent a literary novel title. Title only.,The Cartographer of Vanishing Hours,1,2026-09-06T02:03:17.583512+00:00
65,training_1_76,evidence/legacy/literary_title_20_20260906/raw_runs/T09.json,2163156a-ba2f-9d10-4238-e149993abd4c,Invent a literary novel title. Title only.,The Cartographer of Unfinished Rain,1,2026-09-06T02:03:22.417882+00:00
66,training_1_76,evidence/legacy/literary_title_20_20260906/raw_runs/T10.json,4e86d23c-e21d-b3b5-aae0-c35b90824490,Invent a literary novel title. Title only.,The Cartographer of Lost Hours,1,2026-09-06T02:03:27.149004+00:00
67,training_1_76,evidence/legacy/literary_title_20_20260906/raw_runs/T11.json,88e07499-ce83-bc7f-17d3-57a31ecf636a,Invent a literary novel title. Title only.,The Cartographer of Unfinished Rain,1,2026-09-06T02:03:31.188311+00:00
68,training_1_76,evidence/legacy/literary_title_20_20260906/raw_runs/T12.json,9a4b7210-9f16-60f0-2444-73f1e30999e9,Invent a literary novel title. Title only.,The Cartographer of Unfinished Goodbyes,1,2026-09-06T02:03:35.563945+00:00
69,training_1_76,evidence/legacy/literary_title_20_20260906/raw_runs/T13.json,4d6d8655-f6b3-c949-683a-145ce3446665,Invent a literary novel title. Title only.,The Cartographer of Lost Tomorrows,1,2026-09-06T02:03:39.560680+00:00
70,training_1_76,evidence/legacy/literary_title_20_20260906/raw_runs/T14.json,2dac7cec-1081-bd3a-e339-6a38254f449b,Invent a literary novel title. Title only.,The Cartography of Quiet Hours,1,2026-09-06T02:03:43.984101+00:00
71,training_1_76,evidence/legacy/literary_title_20_20260906/raw_runs/T15.json,66b63139-0ac3-d6bf-7cf7-32c5fb7f8f97,Invent a literary novel title. Title only.,The Cartographer of Vanishing Roads,1,2026-09-06T02:03:48.334647+00:00
72,training_1_76,evidence/legacy/literary_title_20_20260906/raw_runs/T16.json,995783b7-6553-51a5-4aa1-92440bd9e263,Invent a literary novel title. Title only.,The Cartographer of Unfinished Rain,1,2026-09-06T02:03:52.880136+00:00
73,training_1_76,evidence/legacy/literary_title_20_20260906/raw_runs/T17.json,4ad934e6-2731-00b9-9e6e-8ad4b15d3e47,Invent a literary novel title. Title only.,The Cartographer of Vanishing Hours,1,2026-09-06T02:03:57.681845+00:00
74,training_1_76,evidence/legacy/literary_title_20_20260906/raw_runs/T18.json,a8995794-e382-3dce-beab-cf0f20241ee8,Invent a literary novel title. Title only.,The Cartographer of Vanishing Hours,1,2026-09-06T02:04:02.123757+00:00
75,training_1_76,evidence/legacy/literary_title_20_20260906/raw_runs/T19.json,e6f93153-2dd7-7dfe-867e-0ead9fe43e2b,Invent a literary novel title. Title only.,The Cartographer of Vanishing Roads,1,2026-09-06T02:04:06.867133+00:00
76,training_1_76,evidence/legacy/literary_title_20_20260906/raw_runs/T20.json,69cd6f48-96ed-7a65-59a1-8b1b1d1ad681,Invent a literary novel title. Title only.,The Cartographer of Vanishing Hours,1,2026-09-06T02:04:11.152729+00:00
77,prospective_prefix_holdout_77_100,evidence/legacy/prospective_76_to_100_20260906/raw_runs/H077.json,6d892088-5863-2669-6b56-5741fc6b27fc,Invent a literary novel title. Title only.,The Cartographer of Unfinished Rain,1,2026-09-06T02:36:42.705722+00:00
78,prospective_prefix_holdout_77_100,evidence/legacy/prospective_76_to_100_20260906/raw_runs/H078.json,d7d1b29a-37ba-4cff-8084-24de58e399d0,Invent a literary novel title. Title only.,The Cartographer of Unfinished Goodbyes,1,2026-09-06T02:36:47.461723+00:00
79,prospective_prefix_holdout_77_100,evidence/legacy/prospective_76_to_100_20260906/raw_runs/H079.json,4c34df8c-c9a2-efbb-bfd8-16e49b8f1141,Invent a literary novel title. Title only.,The Cartographer of Unfinished Goodbyes,1,2026-09-06T02:36:51.994751+00:00
80,prospective_prefix_holdout_77_100,evidence/legacy/prospective_76_to_100_20260906/raw_runs/H080.json,95e57ea6-fc7f-c8dc-a5cb-dcffcee3d808,Invent a literary novel title. Title only.,The Cartographer of Unfinished Rain,1,2026-09-06T02:36:56.269805+00:00
81,prospective_prefix_holdout_77_100,evidence/legacy/prospective_76_to_100_20260906/raw_runs/H081.json,8d4406be-c0e6-3ba4-957a-c9f3278060cb,Invent a literary novel title. Title only.,The Cartography of Vanishing Light,1,2026-09-06T02:37:01.247274+00:00
82,prospective_prefix_holdout_77_100,evidence/legacy/prospective_76_to_100_20260906/raw_runs/H082.json,284c2320-8151-795b-c93d-2cfbd71a4ad3,Invent a literary novel title. Title only.,The Cartographer of Forgotten Rain,1,2026-09-06T02:37:05.865722+00:00
83,prospective_prefix_holdout_77_100,evidence/legacy/prospective_76_to_100_20260906/raw_runs/H083.json,678423c6-0834-37bf-466a-671ab54a8e11,Invent a literary novel title. Title only.,The Cartographer of Vanishing Hours,1,2026-09-06T02:37:10.538736+00:00
84,prospective_prefix_holdout_77_100,evidence/legacy/prospective_76_to_100_20260906/raw_runs/H084.json,21ae0a69-bf3c-9817-03d6-09c5b3577d40,Invent a literary novel title. Title only.,The Cartography of Vanishing Hours,1,2026-09-06T02:37:15.174715+00:00
85,prospective_prefix_holdout_77_100,evidence/legacy/prospective_76_to_100_20260906/raw_runs/H085.json,8e59fdf0-01da-d89e-88e3-4c8f8efc0cf9,Invent a literary novel title. Title only.,The Cartographer of Vanishing Hours,1,2026-09-06T02:37:20.029275+00:00
86,prospective_prefix_holdout_77_100,evidence/legacy/prospective_76_to_100_20260906/raw_runs/H086.json,edf1d41c-6d8b-fbd5-a85e-16b97a70f550,Invent a literary novel title. Title only.,The Cartographer of Vanishing Hours,1,2026-09-06T02:37:24.367718+00:00
87,prospective_prefix_holdout_77_100,evidence/legacy/prospective_76_to_100_20260906/raw_runs/H087.json,deb293e1-795f-8c60-b0d9-12de07f83319,Invent a literary novel title. Title only.,The Cartography of Unfinished Rain,1,2026-09-06T02:37:29.232734+00:00
88,prospective_prefix_holdout_77_100,evidence/legacy/prospective_76_to_100_20260906/raw_runs/H088.json,cd16f2e1-070d-3898-75c5-dbe6939043cd,Invent a literary novel title. Title only.,The Cartography of Vanishing Hours,1,2026-09-06T02:37:33.871724+00:00
89,prospective_prefix_holdout_77_100,evidence/legacy/prospective_76_to_100_20260906/raw_runs/H089.json,ed31ada2-7225-d7b1-90ba-57db90d96fcb,Invent a literary novel title. Title only.,The Cartographer of Unfinished Roads,1,2026-09-06T02:37:40.143098+00:00
90,prospective_prefix_holdout_77_100,evidence/legacy/prospective_76_to_100_20260906/raw_runs/H090.json,9d05bc96-a026-9e5a-062b-4d81e852a3d2,Invent a literary novel title. Title only.,The Cartographer of Unsaid Things,1,2026-09-06T02:37:44.331749+00:00
91,prospective_prefix_holdout_77_100,evidence/legacy/prospective_76_to_100_20260906/raw_runs/H091.json,aaa220ab-871c-64d9-f2c2-49ee550c1708,Invent a literary novel title. Title only.,The Cartographer of Unfinished Rain,1,2026-09-06T02:37:49.107543+00:00
92,prospective_prefix_holdout_77_100,evidence/legacy/prospective_76_to_100_20260906/raw_runs/H092.json,438063c0-7749-03f0-d6e5-4cade7ab2f36,Invent a literary novel title. Title only.,The Cartography of Vanishing Light,1,2026-09-06T02:37:53.920762+00:00
93,prospective_prefix_holdout_77_100,evidence/legacy/prospective_76_to_100_20260906/raw_runs/H093.json,5713602a-321f-b313-decf-9b9c633ce7b3,Invent a literary novel title. Title only.,The Cartographer of Unfinished Goodbyes,1,2026-09-06T02:37:58.805717+00:00
94,prospective_prefix_holdout_77_100,evidence/legacy/prospective_76_to_100_20260906/raw_runs/H094.json,904d62b7-5980-fdd0-b58d-4124eb662be4,Invent a literary novel title. Title only.,The Cartographer of Unfinished Goodbyes,1,2026-09-06T02:38:03.374517+00:00
95,prospective_prefix_holdout_77_100,evidence/legacy/prospective_76_to_100_20260906/raw_runs/H095.json,91047070-796d-a251-a6ac-8d58d94b7f2a,Invent a literary novel title. Title only.,The Cartographer of Unfinished Rain,1,2026-09-06T02:38:07.870135+00:00
96,prospective_prefix_holdout_77_100,evidence/legacy/prospective_76_to_100_20260906/raw_runs/H096.json,c28e2732-9cd8-bc1d-a9bd-2e1e85278f93,Invent a literary novel title. Title only.,The Cartography of Vanishing Hours,1,2026-09-06T02:38:13.318212+00:00
97,prospective_prefix_holdout_77_100,evidence/legacy/prospective_76_to_100_20260906/raw_runs/H097.json,e477a04d-6f6a-6e67-8b09-e45684a146ea,Invent a literary novel title. Title only.,The Cartographer of Vanishing Hours,1,2026-09-06T02:38:17.374566+00:00
98,prospective_prefix_holdout_77_100,evidence/legacy/prospective_76_to_100_20260906/raw_runs/H098.json,1392b95b-ea2f-a6b2-997c-2273c853e31a,Invent a literary novel title. Title only.,The Cartographer of Unquiet Hours,1,2026-09-06T02:38:21.780423+00:00
99,prospective_prefix_holdout_77_100,evidence/legacy/prospective_76_to_100_20260906/raw_runs/H099.json,52f2d7b2-e492-4655-19c5-2d338b0838bd,Invent a literary novel title. Title only.,The Cartographer of Vanishing Hours,1,2026-09-06T02:38:27.171381+00:00
100,prospective_prefix_holdout_77_100,evidence/legacy/prospective_76_to_100_20260906/raw_runs/H100.json,12f4fb4b-7c52-4af4-1c3f-fa4f38a50db8,Invent a literary novel title. Title only.,The Cartographer of Vanishing Hours,1,2026-09-06T02:38:31.365758+00:00
101,prospective_grammar_101_200,evidence/legacy/grammar_prospective_20_20260906/raw_runs/P101.json,3e9613c7-c9e2-0375-ad60-09c2ba714c0b,Invent a literary novel title. Title only.,The Cartographer of Vanishing Hours,1,2026-09-06T13:03:20.236800+00:00
102,prospective_grammar_101_200,evidence/legacy/grammar_prospective_20_20260906/raw_runs/P102.json,18c8326c-36b0-5e71-75b3-31b7e1086a4f,Invent a literary novel title. Title only.,The Cartographer of Vanishing Roads,1,2026-09-06T13:03:25.226416+00:00
103,prospective_grammar_101_200,evidence/legacy/grammar_prospective_20_20260906/raw_runs/P103.json,917e15e9-81a4-67b4-1c10-1daa97338716,Invent a literary novel title. Title only.,The Cartographer of Vanishing Hours,1,2026-09-06T13:03:30.355508+00:00
104,prospective_grammar_101_200,evidence/legacy/grammar_prospective_20_20260906/raw_runs/P104.json,299c8b4f-20e8-c79f-b311-4ecdad83aada,Invent a literary novel title. Title only.,The Cartographer of Vanishing Hours,1,2026-09-06T13:03:35.328515+00:00
105,prospective_grammar_101_200,evidence/legacy/grammar_prospective_20_20260906/raw_runs/P105.json,c7e25db5-02d9-5360-f7b5-2c9989342534,Invent a literary novel title. Title only.,The Cartographer of Unspoken Winters,1,2026-09-06T13:03:39.928518+00:00
106,prospective_grammar_101_200,evidence/legacy/grammar_prospective_20_20260906/raw_runs/P106.json,42965cc2-18cc-540c-b25f-4d642a4ec859,Invent a literary novel title. Title only.,The Cartography of Vanishing Hours,1,2026-09-06T13:03:44.382528+00:00
107,prospective_grammar_101_200,evidence/legacy/grammar_prospective_20_20260906/raw_runs/P107.json,b8ce9ed0-5022-a214-d438-0fb608f203e6,Invent a literary novel title. Title only.,The Cartographer of Unfinished Goodbyes,1,2026-09-06T13:03:49.001516+00:00
108,prospective_grammar_101_200,evidence/legacy/grammar_prospective_20_20260906/raw_runs/P108.json,11c0e70e-2dae-b5db-b344-6b2d3c6c56ed,Invent a literary novel title. Title only.,The Cartographer of Unfinished Rain,1,2026-09-06T13:03:53.615496+00:00
109,prospective_grammar_101_200,evidence/legacy/grammar_prospective_20_20260906/raw_runs/P109.json,633dc37c-7f6d-d9cb-9f26-c619252e8319,Invent a literary novel title. Title only.,The Cartographer of Unsaid Things,1,2026-09-06T13:03:58.540854+00:00
110,prospective_grammar_101_200,evidence/legacy/grammar_prospective_20_20260906/raw_runs/P110.json,0775ab7d-91e6-1e2e-898e-df61bdb9b093,Invent a literary novel title. Title only.,The Cartographer of Unspoken Rivers,1,2026-09-06T13:04:03.285524+00:00
111,prospective_grammar_101_200,evidence/legacy/grammar_prospective_20_20260906/raw_runs/P111.json,4982974a-7f24-5108-3fb4-95c89fd4a6ec,Invent a literary novel title. Title only.,The Cartography of Unsaid Things,1,2026-09-06T13:04:08.349301+00:00
112,prospective_grammar_101_200,evidence/legacy/grammar_prospective_20_20260906/raw_runs/P112.json,1367f732-ae4a-3494-85dd-1d02e7cffb2d,Invent a literary novel title. Title only.,The Cartographer of Vanishing Hours,1,2026-09-06T13:04:13.447553+00:00
113,prospective_grammar_101_200,evidence/legacy/grammar_prospective_20_20260906/raw_runs/P113.json,3056f11e-77a5-0f61-1012-424e316adbbf,Invent a literary novel title. Title only.,The Orchard of Unsaid Things,0,2026-09-06T13:04:18.660501+00:00
